City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Jiazi,CN,79.83,broken clouds,22.8779,116.067,Hotel Jin Hao
292,Harindanga,IN,86.4,overcast clouds,22.0383,88.3214,Hasanur Builders
296,Barcelos,PT,73.85,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
297,Come,BJ,85.93,scattered clouds,6.4076,1.882,Hôtel la concorde chez Mehinnou
301,Salinopolis,BR,85.57,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
307,Notse,TG,87.33,broken clouds,6.95,1.1667,Le Berceau
310,Ndjole,GA,85.53,overcast clouds,-0.1783,10.7649,Motel Kédyann
312,Harper,LR,82.74,scattered clouds,4.375,-7.7169,Screensaver
316,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
318,Lampang,TH,83.89,overcast clouds,18.3333,99.5,Mrs Luis Guest House
319,Sao Filipe,CV,78.33,clear sky,14.8961,-24.4956,Hotel Xaguate
321,Mitsamiouli,KM,79.3,scattered clouds,-11.3847,43.2844,Foyer ADM
322,Aden,YE,88.59,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
323,Sobradinho,BR,79.29,broken clouds,-12.8333,-39.1,Pousada Pau Brasil
324,Grand Gaube,MU,73.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
328,Maues,BR,86.67,broken clouds,-3.3836,-57.7186,Hotel Miramar
329,Hua Hin,TH,85.89,broken clouds,12.5707,99.9588,"InterContinental Hua Hin Resort, an IHG Hotel"
330,Koulamoutou,GA,79.21,light rain,-1.1303,12.4736,Motel Bouenguidi
332,Balikpapan,ID,77.59,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
335,Daru,PG,79.29,overcast clouds,-9.0763,143.2092,Daru Lodge
336,Ambilobe,MG,73.54,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
337,Guarapari,BR,86.9,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
338,Matara,LK,78.4,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
339,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
342,Soyo,AO,77.05,few clouds,-6.1349,12.3689,Hotel Mpampa
343,Sinnamary,GF,74.95,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
344,Buta,CD,73.92,light rain,2.7858,24.73,HOTEL BISO NA BISO
347,Porto Novo,BJ,85.96,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
354,Puerto Colombia,CO,87.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
357,Kendari,ID,76.62,scattered clouds,-3.945,122.4989,Hotel Wixel
358,Guane,CU,76.32,light rain,22.2025,-84.0875,base de Campismo LosPortales de Guane
359,Marsh Harbour,BS,78.71,clear sky,26.5412,-77.0636,Abaco Beach Resort
364,Domoni,KM,76.5,few clouds,-12.2569,44.5319,Al Djadid
365,Tura,IN,75.24,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
373,Sao Joao Dos Patos,BR,87.6,broken clouds,-6.495,-43.7022,Montesino Hotel & Restaurante
375,Semnan,IR,81.23,overcast clouds,35.5729,53.3971,Semnan Tourist Hotel
377,Huangpu,CN,75.22,overcast clouds,25.4433,113.1747,New Era Hotel Furnishing City
378,Tevaitoa,PF,78.55,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
380,Casablanca,MA,80.82,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
383,Yangjiang,CN,80.06,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
385,Barabai,ID,75.69,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
389,Polis,CY,78.28,clear sky,35.0367,32.4264,Marion
393,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
395,Palasa,IN,82.8,few clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
396,Aquiraz,BR,83.44,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
397,Conceicao Do Mato Dentro,BR,83.93,clear sky,-19.0372,-43.425,Hotel Vista Inn
400,Valledupar,CO,89.11,scattered clouds,10.4631,-73.2532,Hotel Arawak Upar
401,Namibe,AO,76.73,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
403,Beyneu,KZ,80.69,clear sky,45.3167,55.2,NUR
406,Westport,US,79.18,haze,41.1415,-73.3579,The Westport Inn
407,Freeport,US,80.58,scattered clouds,40.6576,-73.5832,The Freeport Inn and Marina
410,Trairi,BR,83.5,light rain,-3.2778,-39.2689,janelas do mar
411,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
412,Bethalto,US,76.21,few clouds,38.9092,-90.0407,Town & Country Lakes
417,Tete,MZ,75.29,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
418,Beibei,CN,78.37,few clouds,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
423,Faya,SA,75.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
424,Djambala,CG,74.05,light rain,-2.5447,14.7533,Hotel Ravin D'or
425,Jingdezhen,CN,72.36,few clouds,29.2947,117.2079,Garden Hotel
428,Tecoanapa,MX,84.04,broken clouds,16.5167,-98.75,Hotel Manglares
433,Chattanooga,US,88.79,scattered clouds,35.0456,-85.3097,The Read House
436,Pangkalanbuun,ID,75.4,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
443,Murgab,TM,87.26,clear sky,37.4966,61.9714,Wepa Nurlyýew
446,Russell,US,89.91,clear sky,32.3502,-85.1999,Macs
453,Erenhot,CN,79.48,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
455,Moindou,NC,70.92,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
457,Abasolo,MX,76.66,clear sky,20.45,-101.5167,Hotel y Parque Acuático La Caldera
458,Kampong Thum,KH,77.59,moderate rain,12.7111,104.8887,Sambor Village Hotel
459,Todos Santos,MX,70.74,clear sky,23.45,-110.2167,Hotel California Todos Santos
460,Karaton,ID,74.62,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
464,Vilhena,BR,87.04,scattered clouds,-12.7406,-60.1458,Hotel Mirage
466,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
468,Bayonet Point,US,89.24,clear sky,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
469,Port Hueneme,US,77.52,haze,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
471,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
472,La Arena,PE,75.27,broken clouds,-5.3466,-80.7109,Santa Cruz- La Unión
473,Baculin,PH,77.52,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
475,Kathmandu,NP,73.62,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
476,Estelle,US,87.8,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
477,Paptalaya,HN,87.87,overcast clouds,15.5,-84.3167,Hospedaje Ingnika
482,Sibolga,ID,75.2,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
483,Ipilan,PH,80.74,overcast clouds,8.8431,117.9033,Brookes Inn
484,Sayyan,YE,70.99,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
485,Miandrivazo,MG,71.26,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
487,Kirakira,SB,79.77,broken clouds,-10.4544,161.9205,SanBiz Lodge
493,Boa Vista,BR,84.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
494,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
495,Aksu,CN,77.22,clear sky,41.1231,80.2644,Pudong Holiday Hotel
496,Saint-Georges,GD,82.54,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
497,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
498,Severomorsk,RU,72.0,overcast clouds,69.0689,33.4162,Apartment on Polyarnaya 4
500,Morondava,MG,76.17,clear sky,-20.2833,44.2833,La Case Bambou
502,Lata,PT,74.07,overcast clouds,40.1629,-8.3327,Casa Maquia
505,Riberalta,BO,87.96,moderate rain,-10.9833,-66.1,Hotel Colonial
508,Nishihara,JP,76.28,mist,26.1842,127.7558,Minshuku Agaihama
511,Bachaquero,VE,87.48,few clouds,9.9694,-71.1494,casa de los dinosaurios
512,Ler,SS,85.55,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
513,Hopelchen,MX,80.51,overcast clouds,19.7667,-89.85,Hotel Jaguar
