City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
30,Rikitea,PF,-23.1203,-134.9692,77.23,79,42,19.01,scattered clouds
31,Ribeira Grande,PT,38.5167,-28.7,68.4,77,20,14.97,few clouds
32,Port Elizabeth,ZA,-33.918,25.5701,61.11,79,5,1.01,clear sky
33,Naze,JP,28.3667,129.4833,70.39,88,100,2.19,overcast clouds
34,Bredasdorp,ZA,-34.5322,20.0403,56.57,71,0,3.85,clear sky
35,Saldanha,ZA,-33.0117,17.9442,58.98,76,0,10.94,clear sky
36,Albany,US,42.6001,-73.9662,76.03,74,100,7.38,overcast clouds
37,Barrow,US,71.2906,-156.7887,24.82,86,100,6.91,overcast clouds
38,Vestmanna,FO,62.1564,-7.1664,49.12,76,70,10.36,broken clouds
39,Caravelas,BR,-17.7125,-39.2481,79.43,70,54,6.04,broken clouds
40,San Angelo,US,31.4638,-100.437,71.55,82,100,13.8,overcast clouds
41,Lewiston,US,44.1003,-70.2148,69.33,77,100,8.05,overcast clouds
42,Karratha,AU,-20.7377,116.8463,66.18,62,4,11.32,clear sky
43,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,75,14.97,broken clouds
44,Awbari,LY,26.5921,12.7805,98.78,8,0,13.58,clear sky
45,Havelock,US,34.8791,-76.9013,91.98,64,0,5.75,clear sky
46,Lebu,CL,-37.6167,-73.65,51.4,64,92,15.21,overcast clouds
47,Makakilo City,US,21.3469,-158.0858,73.72,76,0,8.05,clear sky
48,Acoua,YT,-12.7239,45.0582,78.71,63,1,14.45,clear sky
49,Carnarvon,AU,-24.8667,113.6333,65.62,42,0,15.23,clear sky
50,Port Alfred,ZA,-33.5906,26.891,59.18,79,67,5.06,broken clouds
51,Barcelona,ES,41.3888,2.159,89.8,66,0,11.5,clear sky
52,Gizo,SB,-8.103,156.8419,81.27,77,68,6.26,light rain
53,Geraldton,AU,-28.7667,114.6,54.01,94,40,8.05,scattered clouds
54,Vanimo,PG,-2.6741,141.3028,77.92,89,14,6.46,few clouds
55,Taltal,CL,-25.4,-70.4833,65.03,51,0,5.03,clear sky
56,Puerto Ayora,EC,-0.7393,-90.3518,78.76,90,95,8.01,overcast clouds
57,Srednekolymsk,RU,67.45,153.6833,46.18,58,3,5.68,clear sky
58,Mahebourg,MU,-20.4081,57.7,73.69,83,75,5.75,broken clouds
59,Castro,BR,-24.7911,-50.0119,63.09,79,100,2.55,heavy intensity rain
60,Kavieng,PG,-2.5744,150.7967,80.92,73,60,8.41,broken clouds
61,Leningradskiy,RU,69.3833,178.4167,50.5,47,100,10.98,overcast clouds
62,Liverpool,GB,53.4106,-2.9779,68.29,52,20,5.75,few clouds
63,Guangyuan,CN,32.442,105.823,74.89,82,70,2.33,broken clouds
64,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,5.75,light rain
65,Faanui,PF,-16.4833,-151.75,78.85,77,100,14.81,light rain
66,Bouca,CF,6.5105,18.2733,74.01,89,100,6.08,light rain
67,San Patricio,US,28.017,-97.5169,91.08,48,27,4.36,scattered clouds
68,Yulara,AU,-25.2406,130.9889,57.15,74,49,12.64,scattered clouds
69,Kano,NG,12.0001,8.5167,103.44,10,8,10.98,clear sky
70,Hermanus,ZA,-34.4187,19.2345,56.8,72,0,3.15,clear sky
71,Atuona,PF,-9.8,-139.0333,78.22,76,35,20.13,light rain
72,Quatre Cocos,MU,-20.2078,57.7625,73.51,75,35,10.25,light rain
73,Guerrero Negro,MX,27.9769,-114.0611,66.54,65,1,11.39,clear sky
74,Severodvinsk,RU,64.5635,39.8302,78.91,67,100,2.53,overcast clouds
75,Jamestown,US,42.097,-79.2353,67.64,52,75,8.05,broken clouds
76,Kenai,US,60.5544,-151.2583,53.65,54,0,3.44,clear sky
77,Veraval,IN,20.9,70.3667,81.77,87,35,15.66,scattered clouds
78,Bethel,US,41.3712,-73.414,76.17,82,75,1.01,broken clouds
79,Airai,TL,-8.9266,125.4092,61.38,94,100,0.92,overcast clouds
80,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,16.11,broken clouds
81,Saint-Augustin,CA,51.226,-58.6502,47.08,80,100,26.71,overcast clouds
