City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Saint-Augustin,CA,2022-05-30 19:05:49,51.226,-58.6502,46.6,85,100,4.79
203,Vila,PT,2022-05-30 19:05:49,42.0304,-8.1588,56.28,81,100,3.04
204,Kahului,US,2022-05-30 19:05:13,20.8947,-156.47,82.42,51,0,14.0
205,Ancud,CL,2022-05-30 19:03:27,-41.8697,-73.8203,46.09,67,45,2.04
206,Belmonte,BR,2022-05-30 19:05:50,-15.8631,-38.8828,79.48,76,7,8.08
207,Olden,NO,2022-05-30 19:05:51,61.8364,6.8064,61.54,78,94,5.5
208,Homer,US,2022-05-30 19:05:51,59.6425,-151.5483,63.03,83,40,4.61
209,Bethel,US,2022-05-30 19:05:51,41.3712,-73.414,88.18,54,0,11.5
210,Bereda,ES,2022-05-30 19:05:52,43.2686,-7.5406,61.57,97,100,0.89
211,Marrakesh,MA,2022-05-30 19:05:52,31.6315,-8.0083,84.27,28,0,6.91
212,Nipawin,CA,2022-05-30 19:03:59,53.3668,-104.0009,52.77,86,98,18.1
213,Nabire,ID,2022-05-30 19:05:53,-3.3667,135.4833,75.99,85,100,3.22
214,Vredendal,ZA,2022-05-30 19:05:53,-31.6683,18.5012,52.63,47,0,6.17
215,Zhezkazgan,KZ,2022-05-30 19:05:53,47.8043,67.7144,71.22,43,93,4.79
216,Astoria,US,2022-05-30 19:05:54,46.1879,-123.8313,55.9,69,100,8.05
217,Half Moon Bay,US,2022-05-30 19:05:54,37.4636,-122.4286,76.87,56,0,19.57
218,Gat,IL,2022-05-30 19:05:54,31.61,34.7642,80.4,100,0,4.29
219,Kardymovo,RU,2022-05-30 19:05:55,54.8902,32.4311,51.67,97,100,11.54
220,Cabo San Lucas,MX,2022-05-30 19:05:13,22.8909,-109.9124,86.31,61,0,9.22
221,Tamandare,BR,2022-05-30 19:05:55,-8.7597,-35.1047,78.8,85,100,7.52
222,Anadyr,RU,2022-05-30 19:05:56,64.75,177.4833,42.01,75,82,5.99
223,Camacha,PT,2022-05-30 19:05:56,33.0833,-16.3333,67.42,68,20,20.71
224,Colares,PT,2022-05-30 19:05:57,38.7992,-9.4469,68.99,80,75,17.0
225,Zella-Mehlis,DE,2022-05-30 19:05:57,50.65,10.65,48.33,68,74,3.09
226,Kerewan,GM,2022-05-30 19:05:58,13.4898,-16.0888,85.39,47,95,14.76
227,Doba,TD,2022-05-30 19:05:58,8.65,16.85,83.66,46,100,7.29
228,Kalmunai,LK,2022-05-30 19:05:59,7.4167,81.8167,78.96,80,78,9.1
229,Kamenka,RU,2022-05-30 19:05:59,51.3223,42.7678,56.62,84,92,8.16
230,Victoria,HK,2022-05-30 19:06:00,22.2855,114.1577,84.33,86,99,4.0
231,Kolokani,ML,2022-05-30 19:05:38,13.5728,-8.0339,95.86,25,87,4.23
232,Laguna,US,2022-05-30 19:06:00,38.421,-121.4238,77.09,29,0,12.66
233,Tiznit,MA,2022-05-30 19:07:01,29.5833,-9.5,72.66,39,0,5.64
234,Forbes,AU,2022-05-30 19:07:01,-33.3833,148.0167,47.91,87,100,19.24
235,Itarema,BR,2022-05-30 19:05:49,-2.9248,-39.9167,80.71,85,39,13.73
236,Yulara,AU,2022-05-30 19:07:02,-25.2406,130.9889,49.28,51,100,4.07
237,Coihaique,CL,2022-05-30 19:02:33,-45.5752,-72.0662,40.64,67,9,1.45
238,Hasaki,JP,2022-05-30 19:07:03,35.7333,140.8333,64.8,88,100,17.4
239,Yaguajay,CU,2022-05-30 19:07:03,22.3272,-79.2378,81.82,76,100,15.28
240,Morros,BR,2022-05-30 19:07:04,-9.4467,-46.3003,91.44,30,25,6.87
241,Kochi,IN,2022-05-30 19:04:19,9.9399,76.2602,78.78,80,96,6.35
242,Mitu,CO,2022-05-30 19:05:12,1.1983,-70.1733,81.34,86,62,1.57
243,Luganville,VU,2022-05-30 19:07:05,-15.5333,167.1667,78.39,85,47,4.68
244,Muros,ES,2022-05-30 19:07:05,42.7762,-9.0603,65.08,82,100,3.18
245,Mbandaka,CD,2022-05-30 19:07:05,0.0487,18.2603,74.79,87,79,3.85
246,Auki,SB,2022-05-30 19:07:06,-8.7676,160.7034,79.09,79,87,4.65
247,Saint-Philippe,RE,2022-05-30 19:07:06,-21.3585,55.7679,69.39,74,41,10.6
248,Kruisfontein,ZA,2022-05-30 19:07:07,-34.0033,24.7314,49.89,53,100,6.96
249,Silver City,US,2022-05-30 19:07:07,32.7701,-108.2803,77.92,18,0,19.57
250,Den Helder,NL,2022-05-30 19:07:08,52.9599,4.7593,56.01,63,100,1.99
251,Tautira,PF,2022-05-30 19:07:08,-17.7333,-149.15,78.87,72,73,7.58
